2003,Removal of pollutants from surface water and groundwater by nanofiltration: Overview of possible applications in the drinking water industry,"Van Der Bruggen B., Vandecasteele C.",2697491,Environmental Pollution,122,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,12,13,21,13,20,22,27,33,32,35,41,34,26,38,37,18,0,438
1998,Influence of ion size and charge in nanofiltration,"Schaep J., Van Der Bruggen B., Vandecasteele C., Wilms D.",13835866,Separation and Purification Technology,14, 1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,5,8,9,15,18,10,13,10,21,16,18,22,22,29,30,30,26,27,17,0,357
2012,Recent developments in membrane-based technologies for CO <inf>2</inf> capture,"Luis P., Van Gerven T., Van Der Bruggen B.",3601285,Progress in Energy and Combustion Science,38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,38,32,38,35,43,29,35,19,0,278
2012,A new outlook on membrane enhancement with nanoparticles: The alternative of ZnO,"Balta S., Sotto A., Luis P., Benea L., Van der Bruggen B., Kim J.",3767388,Journal of Membrane Science,389, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,19,39,33,42,39,35,13,0,246
2002,Distillation vs. membrane filtration: Overview of process evolutions in seawater desalination,"Van der Bruggen B., Vandecasteele C.",119164,Desalination,143,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,6,2,9,12,17,20,22,15,25,17,16,17,21,18,7,0,237
2009,Chemical modification of polyethersulfone nanofiltration membranes: A review,Van Der Bruggen B.,218995,Journal of Applied Polymer Science,114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,10,19,11,15,20,31,31,43,28,18,0,235
2010,"Influence of low temperature thermal pre-treatment on sludge solubilisation, heavy metal release and anaerobic digestion","Appels L., Degreve J., Van der Bruggen B., Van Impe J., Dewil R.",9608524,Bioresource Technology,101,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,13,19,21,28,33,32,32,35,10,0,234
2003,"Reuse, treatment, and discharge of the concentrate of pressure-driven membrane processes","Van Der Bruggen B., Lejon L., Vandecasteele C.",0013936X,Environmental Science and Technology,37,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,8,5,10,8,8,15,14,18,19,26,28,17,23,18,3,0,225
2015,Global phosphorus scarcity and full-scale P-recovery techniques: A review,"Desmidt E., Ghyselbrecht K., Zhang Y., Pinoy L., Van Der Bruggen B., Verstraete W., Rabaey K., Meesschaert B.",10643389,Critical Reviews in Environmental Science and Technology,45,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,18,30,54,81,31,0,222
2002,"Alumina and titania multilayer membranes for nanofiltration: Preparation, characterization and chemical stability","Van Gestel T., Vandecasteele C., Buekenhoudt A., Dotremont C., Luyten J., Leysen R., Van der Bruggen B., Maes G.",3767388,Journal of Membrane Science,207,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,9,7,15,8,12,14,16,13,12,16,10,25,22,15,11,7,5,0,222
2004,Separation of monovalent and divalent ions from aqueous solution by electrodialysis and nanofiltration,"Van Der Bruggen B., Koninckx A., Vandecasteele C.",431354,Water Research,38,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,4,7,1,13,13,16,15,22,21,30,26,27,11,0,216
2005,Removal of dyes from wastewater using bottom ash,"Gupta V.K., Ali I., Saini V.K., Van Gerven T., Van Bruggen B.D., Vandecasteele C.",8885885,Industrial and Engineering Chemistry Research,44,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,11,18,9,18,21,14,16,10,11,37,13,8,6,6,0,204
2005,Roughness and hydrophobicity studies of nanofiltration membranes using different modes of AFM,"Boussu K., Van Der Bruggen B., Volodin A., Snauwaert J., Van Haesendonck C., Vandecasteele C.",219797,Journal of Colloid and Interface Science,286,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,6,7,4,25,17,15,17,16,22,15,18,7,9,0,195
2001,"Application of nanofiltration for removal of pesticides, nitrate and hardness from ground water: Rejection properties and economic evaluation","Van Der Bruggen B., Everaert K., Wilms D., Vandecasteele C.",3767388,Journal of Membrane Science,193,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,14,11,11,11,10,11,7,13,12,14,8,11,14,10,14,11,5,0,195
2015,Fractionation of direct dyes and salts in aqueous solution using loose nanofiltration membranes,"Lin J., Ye W., Zeng H., Yang H., Shen J., Darvishmanesh S., Luis P., Sotto A., Van der Bruggen B.",3767388,Journal of Membrane Science,477, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,38,44,52,31,0,192
2002,Modelling of the retention of uncharged molecules with nanofiltration,"Van der Bruggen B., Vandecasteele C.",431354,Water Research,36,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,10,8,9,7,14,10,10,7,8,12,22,23,18,14,6,0,189
2001,Mechanisms of retention and flux decline for the nanofiltration of dye baths from the textile industry,"Van Der Bruggen B., Daems B., Wilms D., Vandecasteele C.",13835866,Separation and Purification Technology,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8,10,6,9,10,5,10,11,6,10,6,8,12,9,18,13,14,8,0,181
1998,Nanofiltration as a treatment method for the removal of pesticides from ground waters,"Van Der Bruggen B., Schaep J., Maes W., Wilms D., Vandecasteele C.",119164,Desalination,117, 1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,7,5,12,8,10,9,10,11,8,9,8,6,5,11,11,7,8,6,3,0,164
2013,Remediation of inorganic arsenic in groundwater for safe water supply: A critical assessment of technological solutions,"Mondal P., Bhowmick S., Chatterjee D., Figoli A., Van der Bruggen B.",456535,Chemosphere,92,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,28,30,22,22,27,13,0,158
2016,Surface zwitterionic functionalized graphene oxide for a novel loose nanofiltration membrane,"Zhu J., Tian M., Hou J., Wang J., Lin J., Zhang Y., Liu J., Van Der Bruggen B.",20507488,Journal of Materials Chemistry A,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,46,46,28,0,154
2016,Tight ultrafiltration membranes for enhanced separation of dyes and Na<inf>2</inf>SO<inf>4</inf> during textile wastewater treatment,"Lin J., Ye W., Baltaru M.-C., Tang Y.P., Bernstein N.J., Gao P., Balta S., Vlad M., Volodin A., Sotto A., Luis P., Zydney A.L., Van der Bruggen B.",3767388,Journal of Membrane Science,514, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,29,37,42,36,0,146
2011,Ozone oxidation for the alleviation of membrane fouling by natural organic matter: A review,"Van Geluwe S., Braeken L., Van der Bruggen B.",431354,Water Research,45,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,9,15,14,22,20,22,26,4,0,145
2008,The role of electrostatic interactions on the rejection of organic solutes in aqueous solutions with nanofiltration,"Verliefde A.R.D., Cornelissen E.R., Heijman S.G.J., Verberk J.Q.J.C., Amy G.L., Van Der Bruggen B., Van Dijk J.C.",3767388,Journal of Membrane Science,322,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,5,11,9,13,18,16,8,21,18,5,0,144
2017,Metal-organic frameworks based membranes for liquid separation,"Li X., Liu Y., Wang J., Gascon J., Li J., Van Der Bruggen B.",3060012,Chemical Society Reviews,46,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,71,37,0,142
2005,Influence of hydrophobicity on retention in nanofiltration of aqueous solutions containing organic compounds,"Braeken L., Ramaekers R., Zhang Y., Maes G., Van Der Bruggen B., Vandecasteele C.",3767388,Journal of Membrane Science,252, 1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,10,10,14,9,9,12,6,8,10,8,16,7,12,2,0,141
2011,"Effect of nanoparticle aggregation at low concentrations of TiO <inf>2</inf> on the hydrophilicity, morphology, and fouling resistance of PES-TiO <inf>2</inf> membranes","Sotto A., Boromand A., Zhang R., Luis P., Arsuaga J.M., Kim J., Van der Bruggen B.",219797,Journal of Colloid and Interface Science,363,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,12,18,20,13,21,20,5,0,131
2013,Preparation and characterization of thin-film nanocomposite membranes embedded with poly(methyl methacrylate) hydrophobic modified multiwalled carbon nanotubes by interfacial polymerization,"Shen J.N., Yu C.C., Ruan H.M., Gao C.J., Van der Bruggen B.",3767388,Journal of Membrane Science,442, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,20,18,19,25,24,10,0,124
2006,Characterization of polymeric nanofiltration membranes for systematic analysis of membrane performance,"Boussu K., Zhang Y., Cocquyt J., Van der Meeren P., Volodin A., Van Haesendonck C., Martens J.A., Van der Bruggen B.",3767388,Journal of Membrane Science,278, 1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,10,13,9,13,7,9,10,8,10,10,1,0,117
2009,Influence of membrane fouling by (pretreated) surface water on rejection of pharmaceutically active compounds (PhACs) by nanofiltration membranes,"Verliefde A.R.D., Cornelissen E.R., Heijman S.G.J., Petrinic I., Luxbacher T., Amy G.L., Van der Bruggen B., van Dijk J.C.",3767388,Journal of Membrane Science,330, 1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,10,9,11,20,10,14,7,8,8,5,0,115
2007,Priority organic micropollutants in water sources in Flanders and the Netherlands and assessment of removal possibilities with nanofiltration,"Verliefde A., Cornelissen E., Amy G., Van der Bruggen B., van Dijk H.",2697491,Environmental Pollution,146,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,17,9,7,12,6,4,7,13,9,10,4,0,115
2006,Characterization of commercial nanofiltration membranes and comparison with self-made polyethersulfone membranes,"Boussu K., Van der Bruggen B., Volodin A., Van Haesendonck C., Delcour J.A., Van der Meeren P., Vandecasteele C.",119164,Desalination,191, 1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,2,10,11,6,11,9,11,12,13,12,7,0,114
2017,Elevated performance of thin film nanocomposite membranes enabled by modified hydrophilic MOFs for nanofiltration,"Zhu J., Qin L., Uliana A., Hou J., Wang J., Zhang Y., Li X., Yuan S., Li J., Tian M., Lin J., Van der Bruggen B.",19448244,ACS Applied Materials and Interfaces,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,32,46,20,0,109
2016,Zeolitic Imidazolate Framework/Graphene Oxide Hybrid Nanosheets Functionalized Thin Film Nanocomposite Membrane for Enhanced Antimicrobial Performance,"Wang J., Wang Y., Zhang Y., Uliana A., Zhu J., Liu J., Van Der Bruggen B.",19448244,ACS Applied Materials and Interfaces,8,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,30,32,28,0,109
2011,Electrodialysis on RO concentrate to improve water recovery in wastewater reclamation,"Zhang Y., Ghyselbrecht K., Meesschaert B., Pinoy L., Van der Bruggen B.",3767388,Journal of Membrane Science,378, 1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,18,12,12,19,13,9,5,0,109
2009,Separation of nutrient ions and organic compounds from salts in RO concentrates by standard and monovalent selective ion-exchange membranes used in electrodialysis,"Zhang Y., Van der Bruggen B., Pinoy L., Meesschaert B.",3767388,Journal of Membrane Science,332, 1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,12,12,7,5,14,20,18,6,0,109
2004,Process intensification in the textile industry: The role of membrane technology,"Van der Bruggen B., Curcio E., Drioli E.",3014797,Journal of Environmental Management,73,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,5,5,5,6,11,11,8,15,5,8,10,8,1,0,109
2006,Study of the characteristics and the performance of self-made nanoporous polyethersulfone membranes,"Boussu K., Vandecasteele C., Van der Bruggen B.",323861,Polymer,47,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,5,16,7,14,10,6,5,6,7,8,7,5,2,0,107
2015,Unraveling flux behavior of superhydrophilic loose nanofiltration membranes during textile wastewater treatment,"Lin J., Tang C.Y., Ye W., Sun S.-P., Hamdan S.H., Volodin A., Haesendonck C.V., Sotto A., Luis P., Van der Bruggen B.",3767388,Journal of Membrane Science,493, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,28,32,22,10,0,106
1998,Remvoal of hardness from groundwater by nanofiltration,"Schaep J., Van Der Bruggen B., Uytterhoeven S., Croux R., Vandecasteele C., Wilms D., Van Houtte E., Vanlerberghe F.",119164,Desalination,119, 1-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,2,2,3,6,7,3,6,7,10,5,5,9,8,5,7,11,2,0,105
2009,Influence of solute-membrane affinity on rejection of uncharged organic solutes by nanofiltration membranes,"Verliefde A.R.D., Cornelissen E.R., Heijman S.G.J., Hoek E.M.V., Amy G.L., Van Der Bruggen B., Van Dijk J.C.",0013936X,Environmental Science and Technology,43,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,7,9,11,8,8,7,13,12,15,3,0,104
2004,Removal of pesticides by nanofiltration: Effect of the water matrix,"Zhang Y., Van der Bruggen B., Chen G.X., Braeken L., Vandecasteele C.",13835866,Separation and Purification Technology,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,12,10,11,7,5,7,9,10,3,5,3,5,2,0,104
2011,Doping of polyethersulfone nanofiltration membranes: Antifouling effect observed at ultralow concentrations of TiO<inf>2</inf> nanoparticles,"Sotto A., Boromand A., Balta S., Kim J., Van Der Bruggen B.",9599428,Journal of Materials Chemistry,21,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,12,6,17,14,12,16,11,4,0,101
2009,Electrochemical decomposition of choline chloride based ionic liquid analogues,"Haerens K., Matthijs E., Binnemans K., Van der Bruggen B.",14639262,Green Chemistry,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,14,9,12,15,8,12,13,10,3,0,101
2005,Pervaporation of water-alcohol mixtures and acetic acid-water mixtures,"Van Baelen D., Van Der Bruggen B., Van Den Dungen K., Degreve J., Vandecasteele C.",92509,Chemical Engineering Science,60,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,11,3,5,10,9,12,9,7,1,5,8,6,5,0,101
2008,Relation between membrane characteristics and performance in nanofiltration,"Boussu K., Vandecasteele C., Van der Bruggen B.",3767388,Journal of Membrane Science,310, 1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,11,10,8,9,7,6,9,8,10,5,5,0,100
2007,Influence of membrane and colloid characteristics on fouling of nanofiltration membranes,"Boussu K., Belpaire A., Volodin A., Van Haesendonck C., Van der Meeren P., Vandecasteele C., Van der Bruggen B.",3767388,Journal of Membrane Science,289, 1-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,8,10,2,10,15,6,11,10,8,3,6,0,100
2007,Influence of electrostatic interactions on the rejection with NF and assessment of the removal efficiency during NF/GAC treatment of pharmaceutically active compounds in surface water,"Verliefde A.R.D., Heijman S.G.J., Cornelissen E.R., Amy G., Van der Bruggen B., van Dijk J.C.",431354,Water Research,41,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,11,5,8,11,6,10,11,5,9,9,2,0,100
2013,Novel binding procedure of TiO<inf>2</inf> nanoparticles to thin film composite membranes via self-polymerized polydopamine,"Zhang R.-X., Braeken L., Luis P., Wang X.-L., Van der Bruggen B.",3767388,Journal of Membrane Science,437, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,17,19,21,13,12,8,0,99
2000,Application of computer modelling to predict the leaching behaviour of heavy metals from MSWI fly ash and comparison with a sequential extraction method,"Van Herck P., Van Der Bruggen B., Vogels G., Vandecasteele C.",0956053X,Waste Management,20, 2-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,4,3,2,3,11,9,3,6,8,6,5,9,5,5,7,5,0,0,99
2002,"Fluxes and rejections for nanofiltration with solvent stable polymeric membranes in water, ethanol and n-hexane","Van der Bruggen, Geens J., Vandecasteele C.",92509,Chemical Engineering Science,57,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,13,2,4,5,5,3,2,5,9,8,3,7,10,8,3,0,98
2002,Salt retention in nanofiltration with multilayer ceramic TiO<inf>2</inf> membranes,"Van Gestel T., Vandecasteele C., Buekenhoudt A., Dotremont C., Luyten J., Leysen R., Van Der Bruggen B., Maes G.",3767388,Journal of Membrane Science,209,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,9,2,7,5,6,7,3,3,4,10,7,7,6,4,4,0,96
2017,Membrane synthesis for membrane distillation: A review,"Eykens L., De Sitter K., Dotremont C., Pinoy L., Van der Bruggen B.",13835866,Separation and Purification Technology,182, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,37,36,18,0,95
2013,Phosphate separation and recovery from wastewater by novel electrodialysis,"Zhang Y., Desmidt E., Van Looveren A., Pinoy L., Meesschaert B., Van Der Bruggen B.",0013936X,Environmental Science and Technology,47,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,5,8,18,21,19,14,0,95
2005,Fouling of nanofiltration and ultrafiltration membranes applied for wastewater regeneration in the textile industry,"Van der Bruggen B., Cornelis G., Vandecasteele C., Devreese I.",119164,Desalination,175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,3,10,7,9,5,4,8,7,10,8,10,5,1,0,94
2002,Flux decline in nanofiltration due to adsorption of organic compounds,"Van Der Bruggen B., Braeken L., Vandecasteele C.",13835866,Separation and Purification Technology,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,7,4,4,5,1,8,8,7,4,10,8,4,7,0,4,2,0,93
1999,A comparison of models to describe the maximal retention of organic molecules in nanofiltration,"Van Der Bruggen B., Schaep J., Wilms D., Vandecasteele C.",1496395,Separation Science and Technology,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,2,2,5,11,7,6,10,5,2,1,5,3,5,2,6,1,3,4,0,91
2009,"Influence of membrane, solute and solution properties on the retention of phenolic compounds in aqueous solution by nanofiltration membranes","Lopez-Munoz M.J., Sotto A., Arsuaga J.M., Van der Bruggen B.",13835866,Separation and Purification Technology,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,6,10,8,9,6,8,17,7,1,0,90
2011,Influence of fermentation by-products on the purification of ethanol from water using pervaporation,"Chovau S., Gaykawad S., Straathof A.J.J., Van der Bruggen B.",9608524,Bioresource Technology,102,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,12,7,13,9,10,10,9,3,0,88
2005,Ultrafiltration and ethanol precipitation for isolation of arabinoxylooligosaccharides with different structures,"Swennen K., Courtin C.M., Van Der Bruggen B., Vandecasteele C., Delcour J.A.",1448617,Carbohydrate Polymers,62,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,6,3,8,12,11,6,12,3,3,6,5,1,0,88
